25_249A	0	增支部11
25_249F	1	何義
25_251I	2	思
25_253D	3	所依A
25_255C	4	所依B
25_257E	5	所依C
25_259D	6	難
25_260A	7	想
25_263J	8	作意
25_265G	9	詵陀
25_269L	10	孔雀林
25_273K	11	摩訶男A
25_277M	12	摩訶男B
25_280F	13	難提
25_283E	14	須菩提
25_290D	15	慈
25_291A	16	第十
25_296C	17	放牛者
25_304I	18	三昧A
25_306E	19	三昧B
25_308F	20	三昧C
25_309M	21	三昧D
25_312C	22-29	不能保護牛羣
25_312C	30-69	不能保護牛羣
25_312C	70-117	不能保護牛羣
25_312C	118-165	不能保護牛羣
25_312C	166-213	不能保護牛羣
25_312C	214-261	不能保護牛羣
25_312C	262-309	不能保護牛羣
25_312C	310-357	不能保護牛羣
25_312C	358-405	不能保護牛羣
25_312C	406-453	不能保護牛羣
25_312C	454-501	不能保護牛羣
25_313H	502	保護牛羣
25_314D	503	了知貪欲
25_314I	504-512	徧知貪欲
25_314K	513-672	徧知瞋
